parent,child
person.n.01,religious_person.n.01
person.n.01,white.n.01
person.n.01,bomber.n.02
causal_agent.n.01,person.n.01
causal_agent.n.01,agent.n.03
adornment.n.01,frog.n.03
decoration.n.01,adornment.n.01
artifact.n.01,decoration.n.01
artifact.n.01,commodity.n.01
artifact.n.01,instrumentality.n.03
artifact.n.01,creation.n.02
artifact.n.01,structure.n.01
artifact.n.01,facility.n.01
artifact.n.01,covering.n.02
artifact.n.01,article.n.02
artifact.n.01,lemon.n.05
artifact.n.01,surface.n.01
artifact.n.01,block.n.01
artifact.n.01,padding.n.01
artifact.n.01,fabric.n.01
saurian.n.01,lizard.n.01
bad_person.n.01,snake.n.02
bad_person.n.01,wrongdoer.n.01
bad_person.n.01,libertine.n.01
chelonian.n.01,turtle.n.02
anapsid.n.01,chelonian.n.01
white_goods.n.01,dishwasher.n.01
white_goods.n.01,washer.n.03
home_appliance.n.01,white_goods.n.01
home_appliance.n.01,kitchen_appliance.n.01
appliance.n.02,home_appliance.n.01
durables.n.01,appliance.n.02
consumer_goods.n.01,durables.n.01
consumer_goods.n.01,clothing.n.01
commodity.n.01,consumer_goods.n.01
laborer.n.01,dishwasher.n.02
workman.n.01,laborer.n.01
employee.n.01,workman.n.01
worker.n.01,employee.n.01
worker.n.01,washer.n.01
worker.n.01,assistant.n.01
worker.n.01,skilled_worker.n.01
kitchen_appliance.n.01,oven.n.01
kitchen_appliance.n.01,stove.n.01
kitchen_appliance.n.01,toaster.n.02
language_unit.n.01,phone.n.02
broadcasting.n.02,radio.n.01
broadcasting.n.02,television.n.01
telecommunication.n.01,broadcasting.n.02
medium.n.01,telecommunication.n.01
instrumentality.n.03,medium.n.01
instrumentality.n.03,system.n.01
instrumentality.n.03,equipment.n.01
instrumentality.n.03,device.n.01
instrumentality.n.03,container.n.01
instrumentality.n.03,furnishing.n.02
instrumentality.n.03,implement.n.01
instrumentality.n.03,conveyance.n.03
instrumentality.n.03,weaponry.n.01
communication_system.n.01,radio.n.03
communication_system.n.01,telecommunication_system.n.01
system.n.01,communication_system.n.01
system.n.01,audio_system.n.01
reproducer.n.01,stereo.n.01
audio_system.n.01,reproducer.n.01
electronic_equipment.n.01,audio_system.n.01
equipment.n.01,electronic_equipment.n.01
equipment.n.01,game_equipment.n.01
equipment.n.01,sports_equipment.n.01
photograph.n.01,stereo.n.02
representation.n.02,photograph.n.01
creation.n.02,representation.n.02
heater.n.01,stove.n.02
device.n.01,heater.n.01
device.n.01,restraint.n.06
device.n.01,support.n.10
device.n.01,musical_instrument.n.01
device.n.01,mechanism.n.05
device.n.01,machine.n.01
device.n.01,instrument.n.01
device.n.01,filter.n.01
device.n.01,explosive_device.n.01
telecommunication_system.n.01,television.n.02
supporter.n.01,toaster.n.01
advocate.n.01,supporter.n.01
seal.n.08,washer.n.02
fastener.n.02,seal.n.08
restraint.n.06,fastener.n.02
corvine_bird.n.01,crow.n.01
oscine.n.01,corvine_bird.n.01
oscine.n.01,thrush.n.03
passerine.n.01,oscine.n.01
passerine.n.01,sparrow.n.01
bird.n.01,passerine.n.01
bird.n.01,gallinaceous_bird.n.01
bird.n.01,bird_of_prey.n.01
bird.n.01,aquatic_bird.n.01
bird.n.01,piciform_bird.n.01
cry.n.05,crow.n.02
sound.n.04,cry.n.05
happening.n.01,sound.n.04
happening.n.01,movement.n.03
happening.n.01,discharge.n.01
happening.n.01,ending.n.04
event.n.01,happening.n.01
event.n.01,act.n.02
event.n.01,group_action.n.01
psychological_feature.n.01,event.n.01
psychological_feature.n.01,cognition.n.01
sioux.n.01,crow.n.03
plains_indian.n.01,sioux.n.01
indian.n.01,plains_indian.n.01
indian.n.01,algonquian.n.01
amerindian.n.01,indian.n.01
person_of_color.n.01,amerindian.n.01
siouan.n.02,crow.n.06
amerind.n.01,siouan.n.02
amerind.n.01,algonquian.n.02
natural_language.n.01,amerind.n.01
language.n.01,natural_language.n.01
communication.n.02,language.n.01
communication.n.02,written_communication.n.01
communication.n.02,auditory_communication.n.01
communication.n.02,signal.n.01
pigeon.n.01,dove.n.01
columbiform_bird.n.01,pigeon.n.01
gallinaceous_bird.n.01,columbiform_bird.n.01
gallinaceous_bird.n.01,game_bird.n.01
pacifist.n.01,dove.n.02
adult.n.01,pacifist.n.01
adult.n.01,militarist.n.01
adult.n.01,man.n.01
adult.n.01,woman.n.01
adult.n.01,important_person.n.01
emblem.n.02,dove.n.05
emblem.n.02,eagle.n.04
emblem.n.02,donkey.n.01
emblem.n.02,elephant.n.02
symbol.n.02,emblem.n.02
representational_process.n.01,symbol.n.02
basic_cognitive_process.n.01,representational_process.n.01
basic_cognitive_process.n.01,perception.n.03
process.n.02,basic_cognitive_process.n.01
cognition.n.01,process.n.02
cognition.n.01,information.n.02
bird_of_prey.n.01,eagle.n.01
bird_of_prey.n.01,hawk.n.01
bird_of_prey.n.01,owl.n.01
bird_of_prey.n.01,vulture.n.01
score.n.03,eagle.n.02
number.n.02,score.n.03
definite_quantity.n.01,number.n.02
measure.n.02,definite_quantity.n.01
measure.n.02,system_of_measurement.n.01
measure.n.02,indefinite_quantity.n.01
coin.n.01,eagle.n.03
coinage.n.01,coin.n.01
currency.n.01,coinage.n.01
medium_of_exchange.n.01,currency.n.01
standard.n.01,medium_of_exchange.n.01
system_of_measurement.n.01,standard.n.01
hawk.n.01,falcon.n.01
anseriform_bird.n.01,goose.n.01
waterfowl.n.01,anseriform_bird.n.01
aquatic_bird.n.01,waterfowl.n.01
aquatic_bird.n.01,seabird.n.01
aquatic_bird.n.01,swan.n.01
poultry.n.02,goose.n.03
bird.n.02,poultry.n.02
bird.n.02,wildfowl.n.01
meat.n.01,bird.n.02
meat.n.01,game.n.07
food.n.02,meat.n.01
food.n.02,produce.n.01
food.n.02,coconut.n.01
food.n.02,seafood.n.01
food.n.02,fish.n.02
solid.n.01,food.n.02
militarist.n.01,hawk.n.02
sphenisciform_seabird.n.01,penguin.n.01
seabird.n.01,sphenisciform_seabird.n.01
phasianid.n.01,pheasant.n.01
game_bird.n.01,phasianid.n.01
game.n.04,game_bird.n.01
wildfowl.n.01,pheasant.n.02
thrush.n.03,robin.n.01
thrush.n.03,robin.n.02
piciform_bird.n.01,woodpecker.n.01
fortification.n.01,castle.n.02
defensive_structure.n.01,fortification.n.01
structure.n.01,defensive_structure.n.01
structure.n.01,building.n.01
structure.n.01,area.n.05
structure.n.01,housing.n.01
structure.n.01,supporting_structure.n.01
chessman.n.01,castle.n.03
man.n.10,chessman.n.01
game_equipment.n.01,man.n.10
game_equipment.n.01,ball.n.01
chess_move.n.01,castle.n.04
move.n.05,chess_move.n.01
turn.n.03,move.n.05
activity.n.01,turn.n.03
activity.n.01,work.n.01
activity.n.01,occupation.n.01
activity.n.01,aid.n.02
act.n.02,activity.n.01
act.n.02,action.n.01
act.n.02,nonaccomplishment.n.01
act.n.02,group_action.n.01
act.n.02,propulsion.n.02
church.n.02,cathedral.n.01
church.n.02,cathedral.n.02
place_of_worship.n.01,church.n.02
building.n.01,place_of_worship.n.01
building.n.01,medical_building.n.01
building.n.01,hotel.n.01
building.n.01,library.n.05
building.n.01,restaurant.n.01
building.n.01,house.n.01
medical_building.n.01,hospital.n.01
medical_institution.n.01,hospital.n.02
institution.n.01,medical_institution.n.01
organization.n.01,institution.n.01
social_group.n.01,organization.n.01
social_group.n.01,gathering.n.01
group.n.01,social_group.n.01
group.n.01,collection.n.01
group.n.01,arrangement.n.02
room.n.01,library.n.01
room.n.01,compartment.n.02
area.n.05,room.n.01
area.n.05,box.n.07
collection.n.01,library.n.02
collection.n.01,library.n.04
collection.n.01,wardrobe.n.02
collection.n.01,wardrobe.n.03
depository.n.01,library.n.03
facility.n.01,depository.n.01
house.n.01,villa.n.02
house.n.01,country_house.n.01
dwelling.n.01,house.n.01
housing.n.01,dwelling.n.01
country_house.n.01,villa.n.03
country_house.n.01,villa.n.04
top.n.10,blouse.n.01
woman's_clothing.n.01,top.n.10
woman's_clothing.n.01,dress.n.01
clothing.n.01,woman's_clothing.n.01
clothing.n.01,garment.n.01
clothing.n.01,handwear.n.01
clothing.n.01,headdress.n.01
covering.n.02,clothing.n.01
covering.n.02,cloak.n.01
covering.n.02,wrapping.n.01
covering.n.02,protective_covering.n.01
covering.n.02,coating.n.01
overgarment.n.01,cloak.n.02
overgarment.n.01,coat.n.01
garment.n.01,overgarment.n.01
garment.n.01,robe.n.01
garment.n.01,scarf.n.01
garment.n.01,shirt.n.01
garment.n.01,sweater.n.01
garment.n.01,vest.n.01
coat.n.01,jacket.n.01
hair.n.01,coat.n.03
hair.n.01,facial_hair.n.01
body_covering.n.01,hair.n.01
covering.n.01,body_covering.n.01
natural_object.n.01,covering.n.01
natural_object.n.01,plant_part.n.01
handwear.n.01,glove.n.02
hat.n.01,fur_hat.n.01
headdress.n.01,hat.n.01
function.n.03,hat.n.02
duty.n.02,function.n.03
work.n.01,duty.n.02
wrapping.n.01,jacket.n.02
peel.n.02,jacket.n.04
rind.n.01,peel.n.02
shell.n.08,jacket.n.05
housing.n.02,shell.n.08
protective_covering.n.01,housing.n.02
protective_covering.n.01,shield.n.01
container.n.01,bag.n.01
container.n.01,bag.n.04
container.n.01,case.n.05
container.n.01,vessel.n.03
container.n.01,dish.n.01
container.n.01,bowl.n.08
container.n.01,box.n.01
container.n.01,glass.n.02
container.n.01,spoon.n.01
container.n.01,wheeled_vehicle.n.01
indefinite_quantity.n.01,bag.n.02
indefinite_quantity.n.01,containerful.n.01
containerful.n.01,bag.n.05
containerful.n.01,bottle.n.02
containerful.n.01,bowl.n.04
containerful.n.01,box.n.03
containerful.n.01,jar.n.02
containerful.n.01,mug.n.01
containerful.n.01,shovel.n.02
containerful.n.01,spoon.n.02
baggage.n.01,bag.n.06
case.n.05,baggage.n.01
unpleasant_woman.n.01,bag.n.07
unpleasant_woman.n.01,cow.n.03
unpleasant_person.n.01,unpleasant_woman.n.01
unwelcome_person.n.01,unpleasant_person.n.01
vessel.n.03,bottle.n.01
vessel.n.03,bottle.n.03
vessel.n.03,bowl.n.01
vessel.n.03,jar.n.01
vessel.n.03,drinking_vessel.n.01
concave_shape.n.01,bowl.n.02
concave_shape.n.01,depression.n.08
solid.n.03,concave_shape.n.01
shape.n.02,solid.n.03
shape.n.02,figure.n.06
attribute.n.02,shape.n.02
attribute.n.02,quality.n.01
attribute.n.02,property.n.02
attribute.n.02,state.n.02
attribute.n.02,trait.n.01
dish.n.01,bowl.n.03
crockery.n.01,dish.n.01
tableware.n.01,crockery.n.01
tableware.n.01,cutlery.n.02
ware.n.01,tableware.n.01
article.n.02,ware.n.01
ball.n.01,bowl.n.07
compartment.n.02,box.n.02
compartment.n.02,box.n.09
compartment.n.02,car.n.03
compartment.n.02,car.n.04
rectangle.n.01,box.n.05
parallelogram.n.01,rectangle.n.01
quadrilateral.n.01,parallelogram.n.01
polygon.n.01,quadrilateral.n.01
plane_figure.n.01,polygon.n.01
figure.n.06,plane_figure.n.01
figure.n.06,subfigure.n.01
shrub.n.01,box.n.06
shrub.n.01,cranberry.n.01
woody_plant.n.01,shrub.n.01
woody_plant.n.01,tree.n.01
vascular_plant.n.01,woody_plant.n.01
vascular_plant.n.01,herb.n.01
vascular_plant.n.01,vine.n.01
vascular_plant.n.01,bulbous_plant.n.01
vascular_plant.n.01,succulent.n.01
plant.n.02,vascular_plant.n.01
seat.n.03,box.n.08
seat.n.03,chair.n.01
seat.n.03,sofa.n.01
furniture.n.01,seat.n.03
furniture.n.01,bedroom_furniture.n.01
furniture.n.01,bookcase.n.01
furniture.n.01,table.n.02
furniture.n.01,cabinet.n.01
furniture.n.01,table.n.03
furniture.n.01,wardrobe.n.01
furnishing.n.02,furniture.n.01
blow.n.01,box.n.10
blow.n.01,hammer.n.08
stroke.n.12,blow.n.01
motion.n.03,stroke.n.12
change.n.03,motion.n.03
change.n.03,motion.n.06
action.n.01,change.n.03
drinking_vessel.n.01,mug.n.04
edible_fruit.n.01,apple.n.01
edible_fruit.n.01,apricot.n.02
edible_fruit.n.01,banana.n.02
edible_fruit.n.01,cherry.n.03
edible_fruit.n.01,berry.n.01
edible_fruit.n.01,grape.n.01
edible_fruit.n.01,citrus.n.01
edible_fruit.n.01,peach.n.03
edible_fruit.n.01,pear.n.01
edible_fruit.n.01,pineapple.n.02
edible_fruit.n.01,plum.n.02
fruit.n.01,edible_fruit.n.01
fruit.n.01,pome.n.01
fruit.n.01,drupe.n.01
fruit.n.01,seed.n.01
fruit.n.01,berry.n.02
reproductive_structure.n.01,fruit.n.01
plant_organ.n.01,reproductive_structure.n.01
plant_organ.n.01,root.n.01
plant_organ.n.01,stalk.n.02
plant_part.n.01,plant_organ.n.01
produce.n.01,edible_fruit.n.01
produce.n.01,vegetable.n.01
pome.n.01,apple.n.01
pome.n.01,pear.n.01
apple_tree.n.01,apple.n.02
fruit_tree.n.01,apple_tree.n.01
fruit_tree.n.01,apricot.n.01
fruit_tree.n.01,cherry.n.02
fruit_tree.n.01,citrus.n.02
fruit_tree.n.01,peach.n.01
fruit_tree.n.01,pear.n.02
fruit_tree.n.01,plum.n.01
angiospermous_tree.n.01,fruit_tree.n.01
angiospermous_tree.n.01,poplar.n.02
tree.n.01,angiospermous_tree.n.01
tree.n.01,palm.n.03
tree.n.01,acacia.n.01
tree.n.01,birch.n.02
tree.n.01,gymnospermous_tree.n.01
tree.n.01,elm.n.01
tree.n.01,oak.n.02
tree.n.01,willow.n.01
herb.n.01,banana.n.01
herb.n.01,pineapple.n.01
herb.n.01,strawberry.n.02
herb.n.01,vegetable.n.02
herb.n.01,crucifer.n.01
herb.n.01,carrot.n.02
herb.n.01,celery.n.01
herb.n.01,gramineous_plant.n.01
herb.n.01,lettuce.n.02
herb.n.01,parsley.n.01
wood.n.01,cherry.n.01
wood.n.01,birch.n.01
wood.n.01,cedar.n.02
wood.n.01,cypress.n.01
wood.n.01,elm.n.02
wood.n.01,oak.n.01
wood.n.01,pine.n.02
wood.n.01,poplar.n.01
plant_material.n.01,wood.n.01
drupe.n.01,cherry.n.03
drupe.n.01,peach.n.03
drupe.n.01,plum.n.02
edible_nut.n.01,coconut.n.02
nut.n.01,edible_nut.n.01
seed.n.01,nut.n.01
seed.n.01,grain.n.07
palm.n.03,coconut.n.03
berry.n.01,cranberry.n.02
berry.n.01,strawberry.n.01
berry.n.02,cranberry.n.02
vine.n.01,grape.n.02
vine.n.01,gourd.n.03
vine.n.01,potato.n.02
citrus.n.02,grapefruit.n.01
citrus.n.02,lemon.n.03
citrus.n.02,lime.n.04
citrus.n.01,grapefruit.n.02
citrus.n.01,lemon.n.01
citrus.n.01,lime.n.06
relish.n.03,lemon.n.04
taste.n.01,relish.n.03
sensation.n.01,taste.n.01
perception.n.03,sensation.n.01
position.n.06,plum.n.03
occupation.n.01,position.n.06
birthmark.n.01,strawberry.n.03
blemish.n.01,birthmark.n.01
appearance.n.01,blemish.n.01
quality.n.01,appearance.n.01
bed.n.01,couch.n.03
bedroom_furniture.n.01,bed.n.01
plot.n.02,bed.n.02
tract.n.01,plot.n.02
geographical_area.n.01,tract.n.01
region.n.03,geographical_area.n.01
location.n.01,region.n.03
location.n.01,region.n.01
natural_depression.n.01,bed.n.03
geological_formation.n.01,natural_depression.n.01
stratum.n.01,bed.n.04
layer.n.02,stratum.n.01
region.n.01,layer.n.02
surface.n.01,bed.n.07
foundation.n.03,bed.n.08
support.n.07,foundation.n.03
supporting_structure.n.01,support.n.07
seat.n.04,chair.n.05
support.n.10,seat.n.04
flat_coat.n.01,couch.n.02
coat_of_paint.n.01,flat_coat.n.01
coating.n.01,coat_of_paint.n.01
coating.n.01,paint.n.01
paint.n.01,coat_of_paint.n.01
coloring_material.n.01,paint.n.01
table.n.02,desk.n.01
assistant.n.01,dresser.n.03
cabinet.n.01,dresser.n.05
array.n.01,table.n.01
arrangement.n.02,array.n.01
gathering.n.01,table.n.05
carnivore.n.01,bear.n.01
carnivore.n.01,feline.n.01
carnivore.n.01,canine.n.02
placental.n.01,carnivore.n.01
placental.n.01,rodent.n.01
placental.n.01,ungulate.n.01
placental.n.01,bull.n.11
placental.n.01,cow.n.02
placental.n.01,pachyderm.n.01
placental.n.01,proboscidean.n.01
placental.n.01,primate.n.02
placental.n.01,lagomorph.n.01
placental.n.01,aquatic_mammal.n.01
mammal.n.01,placental.n.01
investor.n.01,bear.n.02
investor.n.01,bull.n.06
capitalist.n.02,investor.n.01
fur.n.01,beaver.n.01
fur.n.01,fox.n.03
fur.n.01,squirrel.n.02
beard.n.01,beaver.n.03
facial_hair.n.01,beard.n.01
armor_plate.n.01,beaver.n.05
armor_plate.n.01,cannon.n.03
plate.n.14,armor_plate.n.01
shield.n.01,plate.n.14
fur_hat.n.01,beaver.n.06
rodent.n.01,beaver.n.07
rodent.n.01,rat.n.01
rodent.n.01,squirrel.n.01
cattle.n.01,bull.n.01
cattle.n.01,cow.n.01
bovine.n.01,cattle.n.01
bovid.n.01,bovine.n.01
bovid.n.01,goat.n.01
bovid.n.01,sheep.n.01
ruminant.n.01,bovid.n.01
ruminant.n.01,deer.n.01
ruminant.n.01,giraffe.n.01
even-toed_ungulate.n.01,ruminant.n.01
ungulate.n.01,even-toed_ungulate.n.01
ungulate.n.01,odd-toed_ungulate.n.01
man.n.01,bull.n.02
male.n.02,man.n.01
blunder.n.01,bull.n.04
mistake.n.01,blunder.n.01
nonaccomplishment.n.01,mistake.n.01
policeman.n.01,bull.n.05
lawman.n.01,policeman.n.01
defender.n.01,lawman.n.01
defender.n.01,fireman.n.04
preserver.n.03,defender.n.01
decree.n.01,bull.n.10
act.n.01,decree.n.01
legal_document.n.01,act.n.01
document.n.01,legal_document.n.01
writing.n.02,document.n.01
written_communication.n.01,writing.n.02
feline.n.01,cat.n.01
feline.n.01,big_cat.n.01
gossip.n.03,cat.n.03
communicator.n.01,gossip.n.03
woman.n.01,cat.n.03
female.n.02,woman.n.01
wolf.n.01,coyote.n.01
canine.n.02,wolf.n.01
canine.n.02,fox.n.01
smuggler.n.01,coyote.n.02
criminal.n.01,smuggler.n.01
principal.n.05,criminal.n.01
wrongdoer.n.01,principal.n.05
fire_warden.n.01,coyote.n.03
fireman.n.04,fire_warden.n.01
official.n.01,fire_warden.n.01
skilled_worker.n.01,official.n.01
skilled_worker.n.01,serviceman.n.01
pachyderm.n.01,elephant.n.01
proboscidean.n.01,elephant.n.01
algonquian.n.01,fox.n.06
algonquian.n.02,fox.n.07
great_ape.n.01,gorilla.n.01
anthropoid_ape.n.01,great_ape.n.01
ape.n.01,anthropoid_ape.n.01
primate.n.02,ape.n.01
equine.n.01,horse.n.01
odd-toed_ungulate.n.01,equine.n.01
gymnastic_apparatus.n.01,horse.n.02
sports_equipment.n.01,gymnastic_apparatus.n.01
sports_equipment.n.01,hammer.n.05
sports_equipment.n.01,golf_equipment.n.01
big_cat.n.01,lion.n.01
big_cat.n.01,tiger.n.02
celebrity.n.01,lion.n.02
important_person.n.01,celebrity.n.01
ingot.n.01,pig.n.06
block.n.01,ingot.n.01
leporid.n.01,rabbit.n.01
lagomorph.n.01,leporid.n.01
game.n.07,rabbit.n.03
pad.n.04,rat.n.05
padding.n.01,pad.n.04
simpleton.n.01,sheep.n.02
follower.n.01,sheep.n.03
hymenopterous_insect.n.01,ant.n.01
hymenopterous_insect.n.01,wasp.n.02
insect.n.01,hymenopterous_insect.n.01
insect.n.01,beetle.n.01
insect.n.01,lepidopterous_insect.n.01
insect.n.01,dictyopterous_insect.n.01
insect.n.01,orthopterous_insect.n.01
arthropod.n.01,insect.n.01
invertebrate.n.01,arthropod.n.01
lepidopterous_insect.n.01,butterfly.n.01
lepidopterous_insect.n.01,moth.n.01
swimming_stroke.n.01,butterfly.n.02
stroke.n.11,swimming_stroke.n.01
locomotion.n.02,stroke.n.11
motion.n.06,locomotion.n.02
dictyopterous_insect.n.01,cockroach.n.01
orthopterous_insect.n.01,grasshopper.n.01
cocktail.n.01,grasshopper.n.02
cocktail.n.01,screwdriver.n.02
mixed_drink.n.01,cocktail.n.01
alcohol.n.01,mixed_drink.n.01
beverage.n.01,alcohol.n.01
food.n.01,beverage.n.01
food.n.01,foodstuff.n.02
food.n.01,nutriment.n.01
substance.n.07,food.n.01
substance.n.07,agent.n.03
substance.n.07,fuel.n.01
liquid.n.01,beverage.n.01
fluid.n.01,liquid.n.01
drug_of_abuse.n.01,alcohol.n.01
drug.n.01,drug_of_abuse.n.01
agent.n.03,drug.n.01
vespid.n.01,hornet.n.01
wasp.n.02,vespid.n.01
protestant.n.01,wasp.n.01
christian.n.01,protestant.n.01
religious_person.n.01,christian.n.01
white.n.01,wasp.n.01
bowed_stringed_instrument.n.01,cello.n.01
bowed_stringed_instrument.n.01,violin.n.01
stringed_instrument.n.01,bowed_stringed_instrument.n.01
stringed_instrument.n.01,guitar.n.01
stringed_instrument.n.01,piano.n.01
musical_instrument.n.01,stringed_instrument.n.01
musical_instrument.n.01,wind_instrument.n.01
musical_instrument.n.01,keyboard_instrument.n.01
musical_instrument.n.01,percussion_instrument.n.01
single-reed_instrument.n.01,clarinet.n.01
beating-reed_instrument.n.01,single-reed_instrument.n.01
woodwind.n.01,beating-reed_instrument.n.01
woodwind.n.01,flute.n.01
wind_instrument.n.01,woodwind.n.01
wineglass.n.01,flute.n.02
glass.n.02,wineglass.n.01
groove.n.01,flute.n.03
depression.n.08,groove.n.01
keyboard_instrument.n.01,piano.n.01
percussion_instrument.n.01,piano.n.01
softness.n.05,piano.n.02
sound_property.n.01,softness.n.05
property.n.02,sound_property.n.01
property.n.02,visual_property.n.01
edge_tool.n.01,chisel.n.01
edge_tool.n.01,ax.n.01
edge_tool.n.01,knife.n.01
cutter.n.06,edge_tool.n.01
cutting_implement.n.01,cutter.n.06
tool.n.01,cutting_implement.n.01
tool.n.01,hand_tool.n.01
tool.n.01,fork.n.04
tool.n.01,power_tool.n.01
tool.n.01,rake.n.03
implement.n.01,tool.n.01
implement.n.01,fire_iron.n.01
implement.n.01,spear.n.02
bottle_opener.n.01,corkscrew.n.01
opener.n.03,bottle_opener.n.01
hand_tool.n.01,opener.n.03
hand_tool.n.01,hammer.n.02
hand_tool.n.01,saw.n.02
hand_tool.n.01,screwdriver.n.01
hand_tool.n.01,shovel.n.01
hand_tool.n.01,hand_shovel.n.01
hand_tool.n.01,wrench.n.03
cutlery.n.02,fork.n.01
cutlery.n.02,spoon.n.01
branch.n.03,fork.n.03
subfigure.n.01,branch.n.03
striker.n.05,hammer.n.01
striker.n.05,hammer.n.06
mechanical_device.n.01,striker.n.05
mechanism.n.05,mechanical_device.n.01
power_tool.n.01,hammer.n.07
machine.n.01,power_tool.n.01
machine.n.01,textile_machine.n.01
ax.n.01,hatchet.n.02
knife.n.02,dagger.n.01
weapon.n.01,knife.n.02
weapon.n.01,gun.n.01
weapon.n.01,missile.n.01
weapon.n.01,spear.n.01
weapon.n.01,sword.n.01
instrument.n.01,weapon.n.01
instrument.n.01,instrument_of_punishment.n.01
libertine.n.01,rake.n.01
shovel.n.01,hand_shovel.n.01
fire_iron.n.01,shovel.n.03
strainer.n.01,sieve.n.01
filter.n.01,strainer.n.01
playing_card.n.01,spade.n.01
card.n.01,playing_card.n.01
paper.n.01,card.n.01
hand_shovel.n.01,spade.n.02
wood.n.08,spoon.n.03
golf_club.n.02,wood.n.08
golf_equipment.n.01,golf_club.n.02
injury.n.01,wrench.n.01
ill_health.n.01,injury.n.01
pathological_state.n.01,ill_health.n.01
physical_condition.n.01,pathological_state.n.01
condition.n.01,physical_condition.n.01
state.n.02,condition.n.01
switch.n.05,birch.n.03
instrument_of_punishment.n.01,switch.n.05
conifer.n.01,cedar.n.01
conifer.n.01,cedar.n.03
conifer.n.01,cypress.n.02
conifer.n.01,pine.n.01
gymnospermous_tree.n.01,conifer.n.01
textile_machine.n.01,willow.n.02
vegetable.n.02,beet.n.01
vegetable.n.02,spinach.n.01
root_vegetable.n.01,beet.n.02
root_vegetable.n.01,carrot.n.03
root_vegetable.n.01,potato.n.01
root_vegetable.n.01,radish.n.01
root_vegetable.n.01,turnip.n.02
vegetable.n.01,root_vegetable.n.01
vegetable.n.01,cruciferous_vegetable.n.01
vegetable.n.01,celery.n.02
vegetable.n.01,cucumber.n.02
vegetable.n.01,greens.n.01
vegetable.n.01,onion.n.03
vegetable.n.01,solanaceous_vegetable.n.01
crucifer.n.01,broccoli.n.01
crucifer.n.01,cabbage.n.03
crucifer.n.01,cauliflower.n.01
crucifer.n.01,radish_plant.n.01
crucifer.n.01,turnip_plant.n.01
cruciferous_vegetable.n.01,broccoli.n.02
cruciferous_vegetable.n.01,cabbage.n.01
cruciferous_vegetable.n.01,cauliflower.n.02
cruciferous_vegetable.n.01,radish.n.01
cruciferous_vegetable.n.01,turnip.n.02
root.n.01,carrot.n.01
root.n.01,radish.n.03
reward.n.03,carrot.n.04
blessing.n.01,reward.n.03
support.n.02,blessing.n.01
aid.n.02,support.n.02
cereal.n.01,corn.n.01
cereal.n.01,corn.n.05
grass.n.01,cereal.n.01
gramineous_plant.n.01,grass.n.01
kernel.n.02,corn.n.02
grain.n.07,kernel.n.02
grain.n.02,corn.n.03
foodstuff.n.02,grain.n.02
foodstuff.n.02,ingredient.n.03
